type,year,date,day_of_year,station_name_en,station_name_jp,province,climate_classification_koppen
earliest_record,1989,1989-01-08,8,ISHIGAKIJIMA,石垣島,沖縄県,Af
latest_record,1960,1960-06-08,160,NEMURO,根室,北海道,Dfb
