province,total_records,mean_day_of_year
北海道,973,131.7350684931507
沖縄県,292,35.982835820895524
長崎県,187,93.24671232876713
新潟県,183,104.91794520547946
長野県,182,105.14410958904111
島根県,178,97.25780821917807
兵庫県,177,96.55931506849315
福島県,174,103.55027397260274
山形県,170,110.44986301369863
鹿児島県,169,75.12438356164384
