wmo_index,station_name,country_area,latitude_deg,longitude_deg,station_name_ja
60673,TADANTE,ALGERIA,23.033333333333335,7.866666666666667,
60674,TAOUNDART,ALGERIA,20.383333333333333,2.466666666666667,
60675,OUALLEN,ALGERIA,23.4,1.0,
60676,IN AZZANE,ALGERIA,23.483333333333334,11.233333333333333,
60677,AFARA,ALGERIA,25.333333333333332,7.8,
60679,ASSEKREM,ALGERIA,23.266666666666666,5.633333333333333,
60680,TAMANRASSET,ALGERIA,22.8,5.433333333333334,
60681,OUED TAHAGGARET,ALGERIA,21.683333333333334,7.133333333333334,
60682,TINTARABINE,ALGERIA,23.183333333333334,6.766666666666667,
60685,BIDON 5,ALGERIA,22.316666666666666,1.1166666666666667,
60686,BORDJ-BADJ-MOKHTAR,ALGERIA,21.333333333333332,0.95,
60688,TIREK,ALGERIA,21.566666666666666,2.5833333333333335,
60689,TIMIAOUINI,ALGERIA,20.416666666666668,1.8,
60690,IN-GUEZZAM,ALGERIA,19.566666666666666,5.766666666666667,
60691,ANESBARAKA,ALGERIA,19.433333333333334,4.65,
60692,IN GUEZZAM,ALGERIA,19.566666666666666,5.75,
60693,IN ATEI,ALGERIA,20.566666666666666,6.116666666666666,
60694,IN AZAOUA,ALGERIA,20.966666666666665,7.45,
60695,TIN ZAOUATENE,ALGERIA,19.966666666666665,2.9833333333333334,
66104,CABINDA,ANGOLA,-5.55,12.183333333333334,
66116,NOQUI,ANGOLA,-5.866666666666667,13.433333333333334,
66118,NBANZA-KONGO,ANGOLA,-6.266666666666667,14.25,
66121,MAQUELA DO ZOMBO,ANGOLA,-6.033333333333333,15.116666666666667,
66130,N'ZETO (AMBRIZETE),ANGOLA,-7.233333333333333,12.866666666666667,
66136,TOTO,ANGOLA,-7.166666666666667,14.266666666666667,
66140,CARMONA,ANGOLA,-7.583333333333333,15.0,
66142,NEGAGE,ANGOLA,-7.683333333333334,15.366666666666667,
66152,DUNDO,ANGOLA,-7.4,20.816666666666666,
66160,LUANDA,ANGOLA,-8.85,13.233333333333333,
66172,N'DALATANDO,ANGOLA,-9.283333333333333,14.916666666666666,
66187,CAMAXILO,ANGOLA,-8.366666666666667,18.933333333333334,
66210,SUMBE,ANGOLA,-11.2,13.85,
66215,MALANGE,ANGOLA,-9.55,16.366666666666667,
66223,MBANZA CONGO,ANGOLA,-6.266666666666667,14.25,
66226,SAURIMO (HENRIQUE DE CARVALHO),ANGOLA,-9.65,20.4,
66240,PORTO AMBOIM,ANGOLA,-10.7,13.75,
66260,SUMBE,ANGOLA,-11.2,13.85,
66270,WAKU KUNGU (CELA),ANGOLA,-11.416666666666666,15.116666666666667,
66285,LUENA (LUSO),ANGOLA,-11.783333333333333,19.916666666666668,
66296,CAZOMBO,ANGOLA,-11.866666666666667,22.9,
66305,LOBITO,ANGOLA,-12.366666666666667,13.533333333333333,
66310,MONBACA (BENGUELA),ANGOLA,-12.583333333333334,13.416666666666666,
66318,HUAMBO (NOVA LISBOA),ANGOLA,-12.8,15.75,
66325,BIE (SILVA PORTO),ANGOLA,-12.383333333333333,16.95,
66390,LUBANGO (SA DA BANDEIRA),ANGOLA,-14.933333333333334,13.566666666666666,
66410,MENONGUE (SERPA PINTO),ANGOLA,-14.65,17.683333333333334,
66422,MOCAMEDES,ANGOLA,-15.2,12.15,
66447,MAVINGA,ANGOLA,-15.833333333333334,20.35,
66450,BAIA DOS TIGRES,ANGOLA,-16.6,11.716666666666667,
66460,PEREIRA DE ECA,ANGOLA,-17.083333333333332,15.733333333333333,
66485,ROCADAS,ANGOLA,-16.716666666666665,15.0,
65306,KANDI,BENIN,11.133333333333333,2.9333333333333336,
65319,PEPORIYAKOU-NATITINGOU,BENIN,10.316666666666666,1.3833333333333333,
65330,PARAKOU,BENIN,9.35,2.6166666666666667,
65335,SAVE,BENIN,8.033333333333333,2.466666666666667,
65338,BOHICON,BENIN,7.166666666666667,2.066666666666667,
65344,COTONOU,BENIN,6.35,2.3833333333333333,
68024,GHANZI,BOTSWANA,-21.7,21.65,
68026,SHAKAWE,BOTSWANA,-18.366666666666667,21.85,
68027,TUBU,BOTSWANA,-19.35777777777778,22.28388888888889,
68028,MABABE,BOTSWANA,-19.018055555555556,23.97,
68029,KASANE,BOTSWANA,-17.816666666666666,25.15,
68030,PANDAMATENGA,BOTSWANA,-18.533333333333335,25.633333333333333,
68031,MOREMI,BOTSWANA,-19.333333333333332,23.416666666666668,
68032,MAUN,BOTSWANA,-19.983333333333334,23.416666666666668,
68034,GWETA,BOTSWANA,-20.25,25.083333333333332,
68035,GWETA,BOTSWANA,-20.204166666666666,25.26222222222222,
68037,MAITENGWE,BOTSWANA,-20.12527777777778,27.22,
68038,SUA-PAN,BOTSWANA,-20.547222222222224,26.078333333333333,
68040,LETLHAKANE,BOTSWANA,-21.416666666666668,25.6,
68054,FRANCISTOWN,BOTSWANA,-21.323888888888888,27.469166666666666,
68070,SELEBI-PHIKWE,BOTSWANA,-22.05,27.816666666666666,
68084,XADE,BOTSWANA,-22.343888888888888,23.031388888888888,
68086,SEROWE,BOTSWANA,-22.41333333333333,26.71527777777778,
68088,BAINES DRIFT,BOTSWANA,-22.489722222222223,28.696666666666665,
68140,NCOJANE,BOTSWANA,-23.125555555555557,20.271944444444443,
68148,MAHALAPYE,BOTSWANA,-23.083333333333332,26.8,
68151,LEPHEPE,BOTSWANA,-23.364444444444445,25.8475,
68218,NGWATLE,BOTSWANA,-23.71222222222222,21.079722222222223,
68220,KHUTSE,BOTSWANA,-23.666666666666668,24.166666666666668,
68226,TSHANE,BOTSWANA,-24.016666666666666,21.883333333333333,
68228,MOTOKWE,BOTSWANA,-24.061111111111114,23.297500000000003,
68234,JWANENG,BOTSWANA,-24.6,24.666666666666668,
68240,SERETSE KHAMA INTERNATIONAL AIRPORT,BOTSWANA,-24.55,25.916666666666668,
68244,GABORONE,BOTSWANA,-24.666666666666668,25.916666666666668,
68320,WERDA,BOTSWANA,-25.266666666666666,23.25,
68325,GOOD HOPE,BOTSWANA,-25.45,25.416666666666668,
68326,VAALHOEK,BOTSWANA,-26.86722222222222,20.709444444444443,
68328,TSABONG,BOTSWANA,-26.05,22.45,
68992,BOUVET ISLAND,BOUVET ISLAND,-54.4,3.283333333333333,
65500,MARKOYE,BURKINA FASO,14.633333333333333,-0.06666666666666667,
65501,DORI,BURKINA FASO,14.033333333333333,-0.03333333333333333,
65502,OUAHIGOUYA,BURKINA FASO,13.583333333333334,-2.4333333333333336,
65503,OUAGADOUGOU,BURKINA FASO,12.35,-1.5166666666666666,
65505,DEDOUGOU,BURKINA FASO,12.466666666666667,-3.4833333333333334,
65507,FADA N'GOURMA,BURKINA FASO,12.066666666666666,0.35,
65510,BOBO-DIOULASSO,BURKINA FASO,11.166666666666666,-4.3,
65516,BOROMO,BURKINA FASO,11.733333333333333,-2.9166666666666665,
65518,PO,BURKINA FASO,11.166666666666666,-1.15,
65522,GAOUA,BURKINA FASO,10.333333333333334,-3.183333333333333,
65523,MANGODARA,BURKINA FASO,9.9,-4.35,
64390,BUJUMBURA,BURUNDI,-3.3166666666666664,29.316666666666666,
64397,MUYINGA,BURUNDI,-2.8333333333333335,30.333333333333332,
08583,MINDELO,CABO VERDE,16.83361111111111,-25.054722222222225,
08589,PRAIA,CABO VERDE,14.94111111111111,-23.484722222222224,
08594,SAL,CABO VERDE,16.741944444444446,-22.948888888888888,
