year,date,day_of_year,month,day,event,station_name_jp,station_name_en,station_name_ja,jma_station_code,wmo_station_id,country_area,latitude_deg,longitude_deg
1971,1971-04-02,92,4,2,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1972,1972-04-06,97,4,6,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1973,1973-04-07,97,4,7,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1974,1974-03-31,90,3,31,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1976,1976-04-02,93,4,2,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1977,1977-03-27,86,3,27,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1978,1978-04-11,101,4,11,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1979,1979-04-10,100,4,10,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1980,1980-04-06,97,4,6,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1981,1981-04-03,93,4,3,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1982,1982-04-01,91,4,1,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1983,1983-04-09,99,4,9,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1984,1984-04-10,101,4,10,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1985,1985-04-01,91,4,1,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1986,1986-04-05,95,4,5,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1987,1987-04-08,98,4,8,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1988,1988-04-13,104,4,13,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1989,1989-04-02,92,4,2,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1990,1990-04-04,94,4,4,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1991,1991-04-06,96,4,6,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1992,1992-04-07,98,4,7,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
1993,1993-04-12,102,4,12,full_bloom,三宅島,MIYAKEJIMA,三宅島,677,47677,JAPAN,34.12388888888889,139.5213888888889
