jma_station_code,wmo_station_id,station_name_jp,station_name_en,station_name_ja,province,climate_classification_koppen,first_year,last_year,total_years,total_records,mean_day_of_year,median_day_of_year,std_day_of_year,earliest_day_of_year,latest_day_of_year,latitude_deg,longitude_deg,city,subprovince
670,47670,横浜,YOKOHAMA,横浜,神奈川県,,1953,2025,73,73,93.79,94.0,5.17,81,106,35.439722222222215,139.6525,横浜市,
807,47807,福岡,FUKUOKA,福岡,福岡県,Cfa,1953,2025,72,72,92.28,93.0,4.73,81,101,33.58222222222223,130.3763888888889,福岡市,
780,47780,奈良,NARA,奈良,奈良県,,1954,2025,72,72,95.72,96.0,4.69,85,107,34.693888888888885,135.82777777777778,奈良市,
813,47813,佐賀,SAGA,佐賀,佐賀県,,1953,2025,72,72,92.97,93.5,3.99,83,101,33.26638888888889,130.3052777777778,佐賀市,
412,47412,札幌,SAPPORO,札幌,北海道,Dfb,1953,2025,72,72,126.93,128.0,6.45,111,142,43.06,141.32861111111112,札幌市,石狩振興局
418,47418,釧路,KUSHIRO,釧路,北海道,Dfb,1954,2025,71,71,139.94,140.0,6.51,124,156,42.98583333333333,144.3777777777778,釧路市,釧路総合振興局
777,47777,和歌山,WAKAYAMA,和歌山,和歌山県,,1955,2025,71,71,93.44,93.0,4.31,84,103,34.22888888888889,135.16416666666666,和歌山市,
575,47575,青森,AOMORI,青森,青森県,Dfa,1956,2025,70,70,119.1,120.0,6.74,101,139,40.82166666666667,140.7688888888889,青森市,
893,47893,高知,KOCHI,高知,高知県,Cfa,1955,2025,69,69,89.84,90.0,4.98,78,99,33.56805555555556,133.54944444444445,高知市,
741,47741,松江,MATSUE,松江,島根県,Cfa,1953,2025,67,67,97.27,97.0,5.43,86,108,35.45722222222223,133.06555555555556,松江市,
772,47772,大阪,OSAKA,大阪,大阪府,Cfa,1957,2025,65,65,95.28,96.0,4.53,85,107,34.68222222222222,135.51916666666668,大阪市,
409,47409,網走,ABASHIRI,網走,北海道,Dfb,1953,2025,64,64,133.45,133.0,7.09,120,148,44.01777777777777,144.27972222222223,網走市,オホーツク総合振興局
401,47401,稚内,WAKKANAI,稚内,北海道,Dfb,1953,2025,64,64,137.69,138.0,6.62,122,150,45.415,141.67888888888888,稚内市,宗谷総合振興局
750,47750,舞鶴,MAIZURU,舞鶴,京都府,Cfa,1953,2012,60,60,99.2,100.0,4.35,90,109,35.45027777777778,135.31805555555556,舞鶴市,
600,47600,輪島,WAJIMA,輪島,石川県,Cfa,1953,2010,58,58,104.62,105.0,4.76,92,119,37.39138888888889,136.89527777777778,輪島市,
843,47843,福江,FUKUE,福江,長崎県,Cfa,1953,2009,57,57,94.75,95.0,3.95,85,104,32.69472222222222,128.82694444444445,五島市,
800,47800,厳原,IZUHARA,厳原,長崎県,Cfa,1953,2009,57,57,94.3,95.0,4.71,83,104,34.19777777777777,129.29194444444445,対馬市,
587,47587,酒田,SAKATA,酒田,山形県,Cfa,1953,2009,57,57,110.02,110.0,4.8,98,122,38.90861111111111,139.84333333333333,酒田市,
426,47426,浦河,URAKAWA,浦河,北海道,Dfb,1953,2009,57,57,133.88,135.0,4.93,122,150,42.1625,142.77694444444447,,日高振興局
678,47678,八丈島,HACHIJOJIMA,八丈島,,Cfa,1953,2009,56,56,100.39,100.0,6.67,89,121,33.12166666666667,139.77916666666667,東京都,
918,47918,石垣島,ISHIGAKIJIMA,石垣島,沖縄県,Af,1958,2022,56,56,37.79,38.0,11.21,8,62,24.336666666666662,124.16444444444446,石垣市,
909,47909,名瀬,NAZE,名瀬,鹿児島県,Cfa,1953,2024,56,56,31.5,31.5,5.86,13,44,28.379722222222224,129.49555555555554,奄美市,
598,47598,小名浜,ONAHAMA,小名浜,福島県,Cfa,1953,2008,56,56,103.18,103.0,5.21,91,120,36.9475,140.90333333333334,いわき市,
740,47740,西郷,SAIGO,西郷,島根県,Cfa,1953,2008,56,56,101.18,102.0,4.48,91,111,36.20444444444445,133.3338888888889,,
602,47602,相川,AIKAWA,相川,新潟県,Cfa,1953,2007,55,55,108.22,108.0,4.71,98,121,38.02916666666667,138.23999999999998,佐渡市,
581,47581,八戸,HACHINOHE,八戸,青森県,Dfa,1953,2007,55,55,118.42,118.0,5.83,106,144,40.52722222222222,141.52166666666668,八戸市,
755,47755,浜田,HAMADA,浜田,島根県,Cfa,1953,2007,55,55,96.24,96.0,4.3,85,104,34.89666666666667,132.07055555555556,浜田市,
618,47618,松本,MATSUMOTO,松本,長野県,Dfa,1953,2007,55,55,106.96,108.0,5.44,93,121,36.24666666666667,137.97055555555556,松本市,
585,47585,宮古,MIYAKO,宮古,岩手県,Cfa,1953,2007,55,55,114.33,115.0,5.77,103,140,39.64694444444444,141.96583333333334,宮古市,
663,47663,尾鷲,OWASE,尾鷲,三重県,Cfa,1953,2007,55,55,94.58,95.0,4.12,86,107,34.069722222222225,136.19333333333333,尾鷲市,
612,47612,高田,TAKADA,高田,新潟県,,1953,2007,55,55,104.38,104.0,5.18,93,121,37.10666666666667,138.24666666666664,上越市,
747,47747,豊岡,TOYOOKA,豊岡,兵庫県,,1953,2007,55,55,98.96,99.0,4.53,90,109,35.53583333333333,134.82222222222222,豊岡市,
744,47744,米子,YONAGO,米子,鳥取県,Cfa,1954,2008,55,55,97.82,98.0,4.76,87,108,35.43472222222222,133.3386111111111,米子市,
428,47428,江差,ESASHI,江差,北海道,Dfa,1953,2007,54,54,127.26,128.0,5.83,111,142,41.86722222222223,140.1238888888889,,檜山振興局
637,47637,飯田,IIDA,飯田,長野県,,1953,2006,54,54,101.57,102.0,4.95,90,112,35.52333333333333,137.8225,飯田市,
406,47406,留萌,RUMOI,留萌,北海道,Dfb,1953,2008,53,53,134.47,134.0,5.45,121,144,43.94611111111111,141.63194444444446,留萌市,留萌振興局
617,47617,高山,TAKAYAMA,高山,岐阜県,,1953,2005,53,53,110.55,110.0,5.21,99,123,36.15611111111111,137.25333333333333,高山市,
631,47631,敦賀,TSURUGA,敦賀,福井県,,1953,2005,53,53,99.15,100.0,4.79,89,109,35.65333333333333,136.06222222222223,敦賀市,
654,47654,浜松,HAMAMATSU,浜松,静岡県,,1953,2005,52,52,95.25,95.5,3.86,85,103,34.75388888888889,137.71166666666664,浜松市,
413,47413,岩見沢,IWAMIZAWA,岩見沢,北海道,Dfb,1953,2006,52,52,129.75,130.0,5.36,115,141,43.211666666666666,141.78583333333333,岩見沢市,空知総合振興局
435,47435,紋別,MOMBETSU,紋別,北海道,Dfb,1956,2007,52,52,134.48,134.0,6.71,120,150,44.345,143.3552777777778,紋別市,オホーツク総合振興局
433,47433,倶知安,KUTCHAN,倶知安,北海道,Dfb,1954,2006,51,51,134.98,135.0,5.66,118,145,42.90111111111111,140.75805555555556,,後志総合振興局
927,47927,宮古島,MIYAKOJIMA,宮古島,沖縄県,Af,1954,2025,50,50,39.18,39.0,9.29,23,61,24.794444444444448,125.27833333333334,宮古島市,
