jma_station_code,station_name_jp,station_name_en,wmo_station_id,province,climate_classification_koppen,total_years,total_records,first_year,last_year,mean_day_of_year,median_day_of_year,std_day_of_year,earliest_day_of_year,latest_day_of_year,latitude_deg,longitude_deg,city,subprovince
401,稚内,WAKKANAI,47401,北海道,Dfb,64,64,1953,2025,137.69,138.0,6.62,122,150,45.415,141.67888888888888,稚内市,宗谷総合振興局
750,舞鶴,MAIZURU,47750,京都府,Cfa,60,60,1953,2012,99.2,100.0,4.35,90,109,35.45027777777778,135.31805555555556,舞鶴市,
600,輪島,WAJIMA,47600,石川県,Cfa,58,58,1953,2010,104.62,105.0,4.76,92,119,37.39138888888889,136.89527777777778,輪島市,
843,福江,FUKUE,47843,長崎県,Cfa,57,57,1953,2009,94.75,95.0,3.95,85,104,32.69472222222222,128.82694444444445,五島市,
800,厳原,IZUHARA,47800,長崎県,Cfa,57,57,1953,2009,94.3,95.0,4.71,83,104,34.19777777777777,129.29194444444445,対馬市,
587,酒田,SAKATA,47587,山形県,Cfa,57,57,1953,2009,110.02,110.0,4.8,98,122,38.90861111111111,139.84333333333333,酒田市,
426,浦河,URAKAWA,47426,北海道,Dfb,57,57,1953,2009,133.88,135.0,4.93,122,150,42.1625,142.77694444444447,,日高振興局
678,八丈島,HACHIJOJIMA,47678,,Cfa,56,56,1953,2009,100.39,100.0,6.67,89,121,33.12166666666667,139.77916666666667,東京都,
918,石垣島,ISHIGAKIJIMA,47918,沖縄県,Af,56,56,1958,2022,37.79,38.0,11.21,8,62,24.336666666666662,124.16444444444446,石垣市,
909,名瀬,NAZE,47909,鹿児島県,Cfa,56,56,1953,2024,31.5,31.5,5.86,13,44,28.379722222222224,129.49555555555554,奄美市,
598,小名浜,ONAHAMA,47598,福島県,Cfa,56,56,1953,2008,103.18,103.0,5.21,91,120,36.9475,140.90333333333334,いわき市,
740,西郷,SAIGO,47740,島根県,Cfa,56,56,1953,2008,101.18,102.0,4.48,91,111,36.20444444444445,133.3338888888889,,
602,相川,AIKAWA,47602,新潟県,Cfa,55,55,1953,2007,108.22,108.0,4.71,98,121,38.02916666666667,138.23999999999998,佐渡市,
581,八戸,HACHINOHE,47581,青森県,Dfa,55,55,1953,2007,118.42,118.0,5.83,106,144,40.52722222222222,141.52166666666668,八戸市,
755,浜田,HAMADA,47755,島根県,Cfa,55,55,1953,2007,96.24,96.0,4.3,85,104,34.89666666666667,132.07055555555556,浜田市,
618,松本,MATSUMOTO,47618,長野県,Dfa,55,55,1953,2007,106.96,108.0,5.44,93,121,36.24666666666667,137.97055555555556,松本市,
585,宮古,MIYAKO,47585,岩手県,Cfa,55,55,1953,2007,114.33,115.0,5.77,103,140,39.64694444444444,141.96583333333334,宮古市,
663,尾鷲,OWASE,47663,三重県,Cfa,55,55,1953,2007,94.58,95.0,4.12,86,107,34.069722222222225,136.19333333333333,尾鷲市,
612,高田,TAKADA,47612,新潟県,,55,55,1953,2007,104.38,104.0,5.18,93,121,37.10666666666667,138.24666666666664,上越市,
747,豊岡,TOYOOKA,47747,兵庫県,,55,55,1953,2007,98.96,99.0,4.53,90,109,35.53583333333333,134.82222222222222,豊岡市,
744,米子,YONAGO,47744,鳥取県,Cfa,55,55,1954,2008,97.82,98.0,4.76,87,108,35.43472222222222,133.3386111111111,米子市,
428,江差,ESASHI,47428,北海道,Dfa,54,54,1953,2007,127.26,128.0,5.83,111,142,41.86722222222223,140.1238888888889,,檜山振興局
637,飯田,IIDA,47637,長野県,,54,54,1953,2006,101.57,102.0,4.95,90,112,35.52333333333333,137.8225,飯田市,
406,留萌,RUMOI,47406,北海道,Dfb,53,53,1953,2008,134.47,134.0,5.45,121,144,43.94611111111111,141.63194444444446,留萌市,留萌振興局
617,高山,TAKAYAMA,47617,岐阜県,,53,53,1953,2005,110.55,110.0,5.21,99,123,36.15611111111111,137.25333333333333,高山市,
631,敦賀,TSURUGA,47631,福井県,,53,53,1953,2005,99.15,100.0,4.79,89,109,35.65333333333333,136.06222222222223,敦賀市,
654,浜松,HAMAMATSU,47654,静岡県,,52,52,1953,2005,95.25,95.5,3.86,85,103,34.75388888888889,137.71166666666664,浜松市,
413,岩見沢,IWAMIZAWA,47413,北海道,Dfb,52,52,1953,2006,129.75,130.0,5.36,115,141,43.211666666666666,141.78583333333333,岩見沢市,空知総合振興局
435,紋別,MOMBETSU,47435,北海道,Dfb,52,52,1956,2007,134.48,134.0,6.71,120,150,44.345,143.3552777777778,紋別市,オホーツク総合振興局
433,倶知安,KUTCHAN,47433,北海道,Dfb,51,51,1954,2006,134.98,135.0,5.66,118,145,42.90111111111111,140.75805555555556,,後志総合振興局
927,宮古島,MIYAKOJIMA,47927,沖縄県,Af,50,50,1954,2025,39.18,39.0,9.29,23,61,24.794444444444448,125.27833333333334,宮古島市,
420,根室,NEMURO,47420,北海道,Dfb,50,50,1960,2010,144.88,144.0,5.59,133,160,43.33055555555556,145.58555555555557,根室市,根室振興局
778,潮岬,SHIONOMISAKI,47778,和歌山県,Cfa,50,50,1958,2009,95.26,95.5,4.3,85,104,33.45027777777778,135.75722222222225,,
776,洲本,SUMOTO,47776,兵庫県,,49,49,1953,2002,96.76,97.0,4.5,86,106,34.33833333333334,134.905,洲本市,
936,那覇,NAHA,47936,沖縄県,Cfa,48,48,1976,2024,34.46,34.0,7.08,23,50,26.20722222222222,127.68722222222225,那覇市,
675,大島,OSHIMA,47675,,Cfa,47,47,1954,2009,94.68,95.0,4.45,82,104,34.74944444444444,139.36305555555555,東京都,
597,白河,SHIRAKAWA,47597,福島県,,45,45,1953,1997,110.69,110.0,4.68,100,123,37.13166666666667,140.21499999999995,白河市,
945,南大東島,MINAMIDAITOJIMA,47945,沖縄県,Af,44,44,1971,2022,34.23,32.0,8.66,21,61,25.828888888888887,131.22861111111112,,
440,広尾,HIROO,47440,北海道,Dfb,41,41,1958,1998,132.17,131.0,6.02,120,152,42.29444444444445,143.31666666666666,,十勝総合振興局
520,新庄,SHINJO,47520,山形県,Dfa,40,40,1958,1997,117.8,118.0,4.89,107,132,38.75694444444444,140.31222222222223,新庄市,
837,種子島,TANEGASHIMA,47837,鹿児島県,Cfa,39,39,1953,2007,95.67,95.0,7.77,79,117,30.720277777777778,130.98250000000002,西之表市,
892,宇和島,UWAJIMA,47892,愛媛県,,39,39,1967,2005,92.82,93.0,4.49,82,101,33.22777777777778,132.55305555555557,宇和島市,
672,館山,TATEYAMA,47672,千葉県,,38,38,1969,2006,96.92,97.0,4.33,86,106,34.98694444444445,139.86527777777778,館山市,
677,三宅島,MIYAKEJIMA,47677,,,34,34,1965,2000,95.09,96.0,4.67,85,104,34.12388888888889,139.5213888888889,東京都,
822,延岡,NOBEOKA,47822,宮崎県,,33,33,1962,1994,93.0,93.0,3.95,86,101,32.581944444444446,131.65805555555556,延岡市,
929,久米島,KUMEJIMA,47929,沖縄県,,31,31,1962,2004,32.87,33.0,6.98,15,51,26.33805555555556,126.80388888888888,,
917,西表島,IRIOMOTEJIMA,47917,沖縄県,,24,24,1975,2002,36.92,36.5,10.52,21,62,24.42777777777778,123.76555555555557,,
940,名護,NAGO,47940,沖縄県,,23,23,1977,2002,29.48,28.0,6.35,18,43,26.594166666666663,127.96638888888889,名護市,
